X,Y,Name,Street_Add,Latitude,Longitude,Operationa,Number_of_,Age,Gender,source,Location N,Street Add,Vehicle Ty,Time Open,Services O,mgd_x,mgd_y,Population,Capacity
-13041158.3505216,3855999.5658744,Alpha Project Bridge Shelter I,16th Street and Newton Avenue,32.7034,-117.151,Alpha Project for the Homeless,326.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13040927.3408361,3856396.73010784,Alpha Project Bridge Shelter II,17th Street and Imperial Avenue,32.7064,-117.149,Alpha Project for the Homeless,140.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13041090.4064965,3856293.27435084,Father Joe & Villages Bishop Maher Center,"1501 Imperial Ave, San Diego, CA, 92101",32.7056,-117.15,Father Joe's Villages,28.0,Adults,Women,Export/Funded_shelter_export.csv,,,,,,,,,
-13042124.0049789,3858021.3567511,PATH Connections Housing,"1250 Sixth Ave, San Diego, CA 92101",32.7187,-117.159,People Assisting the Homeless,80.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13047494.9801664,3862587.05372418,"Community Harm Reduction Shelter (C-HRT)
","3220 Sports Arena Blvd.
San Diego, CA 92110",32.7532,-117.208,The City of San Diego,44.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13045750.5173209,3861410.62706538,Point Loma Campus (Veterans Village of San Diego),"4141 Pacific Hwy
San Diego, CA 92110",32.7443,-117.192,The City of San Diego,130.0,"Adults, Seniors",Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13041894.6938941,3857304.15165209,Rachel's Promise Women's Shelter,"759 Eighth Ave
San Diego, CA 92101",32.7132,-117.157,Catholic Diocese of San Diego,40.0,Adults,Women,Export/Funded_shelter_export.csv,,,,,,,,,
-13046749.2944905,3862597.65724501,Rosecrans Shelter,"4484 Pacific Highway
San Diego, CA 92110",32.7533,-117.201,Alpha Project for the Homeless,150.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13033035.6423158,3851348.13713452,South County Lighthouse (San Diego Rescue Mission),"2400 Euclid Ave
National City, CA 91950",32.6682,-117.078,The City of San Diego,37.0,Adults,Men,Export/Funded_shelter_export.csv,,,,,,,,,
-13043419.1879582,3858538.72035644,Seniors Landing Bridge Shelter,"1655 Pacific Highway
San Diego, CA 92101",32.7226,-117.171,The City of San Diego,60.0,Seniors,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13045790.4344357,3861476.76639439,"Community Harm Reduction Safe Haven Shelter (C-HRT Safe Haven)
","4141 Pacific Highway
San Diego, CA 92110",32.7448,-117.192,The City of San Diego,22.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13040641.9759305,3855826.47306405,"Barrio Logan Family Shelter (Travelodge)
","1801 Logan Avenue
San Diego, CA 92113",32.7021,-117.146,The City of San Diego,168.0,Families,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13034275.6207747,3862965.75680908,Alcohol Use Disorder Shelter (TURN Behavioral Health Services),"4357 49th Street
San Diego, CA 92115",32.756,-117.089,The City of San Diego,56.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-13034179.6498392,3863226.31159613,Alcohol Use Disorder Shelter (TURN Behavioral Health Services),"4450 Winona Avenue
San Diego, CA 92115",32.758,-117.088,The City of San Diego,56.0,Adults,Mixed,Export/Funded_shelter_export.csv,,,,,,,,,
-117.115416666667,32.8106388888889,,,,,,,,,Export/SafeParking_export.csv,Aero Drive Lot,"9882 Aero Drive, San Diego, CA 92123",Standard Vehicles,6 PM to 7 PM Daily,"Parking Space, Housing Navigation, Substance Use Treatment, Restrooms, Job Training, On-site Security, and Mental Health Treatment",-117.11541666666666,32.81063888888889,,
-117.138861111111,32.8211111111111,,,,,,,,,Export/SafeParking_export.csv,Balboa Avenue Lot,"8804 Balboa Avenue San Diego, CA 92123",Standard Vehicles,6 PM to 7 PM Daily,"Parking Space, Housing Navigation, Substance Use Treatment, Restrooms, Job Training, On-site Security, and Mental Health Treatment",-117.13886111111108,32.82111111111111,,
-117.120861111111,32.7874444444444,,,,,,,,,Export/SafeParking_export.csv,Mission Valley Lot,"2334 Mission Valley Drive, San Diego CA 92108","Standard Vehicles, Recreational Vehicles",24 Hours,"Parking Space, Housing Navigation, Substance Use Treatment, Restrooms, Job Training, On-site Security, and Mental Health Treatment",-117.12086111111113,32.787444444444446,,
-117.215361111111,32.8099166666667,,,,,,,,,Export/SafeParking_export.csv,Rose Canyon Lot,"3775 Morena Blvd, San Diego, CA 92117",Standard and City Owned Camper Trailers,24 Hours,"Parking Space, Housing Navigation, Substance Use Treatment, Restrooms, Job Training, On-site Security, and Mental Health Treatment",-117.2153611111111,32.809916666666666,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
0.0,0.0,,,,,,,,,Export/SafeParking_export.csv,,,,,,,,,
